Src IP,Dst IP,Src Port,Dst Port,Protocol,Duration (s),Out Bytes,In Bytes,Total Packets,Total Bytes,Bytes/sec,Bytes/pkt,Pkts/sec,Ratio Out/In,State Flags,Direction
10.0.1.155,20.125.70.28,48556,443,6,10.01,6407436,248,7242,6407684,640198.69,884.79,723.56,25836.44,ACK,->
20.125.70.28,10.0.1.155,443,48556,6,10.01,5899166,66,5282,5899232,589432.63,1116.86,527.76,89381.30,ACK,->
10.0.1.155,20.60.14.197,38858,443,6,9.04,6369,561,30,6930,766.62,231.00,3.32,11.35,ACK,->
20.60.14.197,10.0.1.155,443,38858,6,9.04,4818,432,20,5250,580.99,262.50,2.21,11.15,ACK,->
10.0.1.155,52.168.117.169,42834,443,6,3.02,264,66,5,330,109.25,66.00,1.66,4.00,"ACK, FIN",->
52.136.0.0,10.0.1.155,23456,22714,6,0.00,0,86,1,86,360710144.00,86.00,4194304.00,0.00,"SYN, ACK",->
10.0.1.155,52.136.0.0,22714,23456,6,0.00,0,54,1,54,226492416.00,54.00,4194304.00,0.00,RST,->
52.168.117.169,10.0.1.155,443,42834,6,2.96,198,66,4,264,89.20,66.00,1.35,3.00,"ACK, FIN",->
10.0.1.155,168.63.129.16,56998,80,6,0.01,464,74,5,538,97155.58,107.60,902.93,6.27,"SYN, ACK, FIN",->
168.63.129.16,10.0.1.155,80,56998,6,0.01,2617,74,3,2691,532600.61,897.00,593.76,35.36,"SYN, ACK, FIN",->
10.0.1.155,168.63.129.16,35598,32526,6,0.01,664,74,4,738,74956.32,184.50,406.27,8.97,"SYN, ACK, FIN",->
168.63.129.16,10.0.1.155,32526,35598,6,0.01,277,74,3,351,41074.74,117.00,351.07,3.74,"SYN, ACK, FIN",->
10.0.1.155,168.63.129.16,35614,32526,6,0.02,1283,74,5,1357,74651.71,271.40,275.06,17.34,"SYN, ACK, FIN",->
168.63.129.16,10.0.1.155,32526,35614,6,0.02,352,74,4,426,23033.74,106.50,216.28,4.76,"SYN, ACK, FIN",->
10.0.1.155,168.63.129.16,35630,32526,6,0.01,15775,74,7,15849,1074004.75,2264.14,474.35,213.18,"SYN, ACK, FIN",->
168.63.129.16,10.0.1.155,32526,35630,6,0.01,418,74,5,492,34808.68,98.40,353.75,5.65,"SYN, ACK, FIN",->
10.0.1.155,168.63.129.16,57006,80,6,0.01,464,74,5,538,94952.05,107.60,882.45,6.27,"SYN, ACK, FIN",->
168.63.129.16,10.0.1.155,80,57006,6,0.00,2617,74,3,2691,544996.24,897.00,607.58,35.36,"SYN, ACK, FIN",->
10.0.1.155,168.63.129.16,35642,32526,6,0.01,664,74,4,738,81522.16,184.50,441.85,8.97,"SYN, ACK, FIN",->
168.63.129.16,10.0.1.155,32526,35642,6,0.01,277,74,3,351,38878.20,117.00,332.29,3.74,"SYN, ACK, FIN",->
10.0.1.155,168.63.129.16,35648,32526,6,0.01,1283,74,5,1357,110022.24,271.40,405.39,17.34,"SYN, ACK, FIN",->
168.63.129.16,10.0.1.155,32526,35648,6,0.01,352,74,4,426,33095.75,106.50,310.76,4.76,"SYN, ACK, FIN",->
10.0.1.155,168.63.129.16,35658,32526,6,0.01,15775,74,7,15849,1812161.60,2264.14,800.37,213.18,"SYN, ACK, FIN",->
168.63.129.16,10.0.1.155,32526,35658,6,0.01,418,74,5,492,51415.13,98.40,522.51,5.65,"SYN, ACK, FIN",->
