Src IP,Dst IP,Src Port,Dst Port,Protocol,Duration (s),Out Bytes,In Bytes,Total Packets,Total Bytes,Bytes/sec,Bytes/pkt,Pkts/sec,Ratio Out/In,State Flags,Direction
199.232.193.91,10.20.73.129,443,64344,6,78.12,2464,94,29,2558,32.75,88.21,0.37,26.21,ACK,->
10.20.73.129,199.232.193.91,64344,443,6,78.11,2040,66,29,2106,26.96,72.62,0.37,30.91,ACK,->
162.159.134.234,10.20.73.129,443,59873,6,73.51,928,113,10,1041,14.16,104.10,0.14,8.21,ACK,->
10.20.73.129,162.159.134.234,59873,443,6,73.51,702,66,10,768,10.45,76.80,0.14,10.64,ACK,->
10.20.73.129,172.16.0.101,64392,53,17,0.00,0,71,1,71,59559116.80,71.00,838860.80,0.00,,->
10.20.73.129,10.64.77.10,62160,53,17,0.00,0,71,1,71,74448896.00,71.00,1048576.00,0.00,,->
10.20.73.129,172.18.2.20,63694,53,17,0.00,0,71,1,71,0.00,71.00,0.00,0.00,,->
10.20.73.129,172.16.0.100,50423,53,17,0.00,0,71,1,71,0.00,71.00,0.00,0.00,,->
10.20.73.129,10.64.76.10,63183,53,17,0.00,0,71,1,71,59559116.80,71.00,838860.80,0.00,,->
10.20.73.129,172.18.3.20,50523,53,17,0.00,0,71,1,71,59559116.80,71.00,838860.80,0.00,,->
10.20.73.129,10.64.77.10,51279,53,17,0.00,0,71,1,71,59559116.80,71.00,838860.80,0.00,,->
10.20.73.129,10.64.76.10,52143,53,17,0.00,0,71,1,71,0.00,71.00,0.00,0.00,,->
10.20.73.129,172.16.0.100,61526,53,17,0.00,0,71,1,71,0.00,71.00,0.00,0.00,,->
10.20.73.129,172.16.0.101,61116,53,17,0.00,0,71,1,71,0.00,71.00,0.00,0.00,,->
10.20.73.129,172.18.2.20,61125,53,17,0.00,0,71,1,71,74448896.00,71.00,1048576.00,0.00,,->
10.20.73.129,172.18.3.20,52431,53,17,0.00,0,71,1,71,0.00,71.00,0.00,0.00,,->
10.20.73.129,172.18.3.20,51618,53,17,0.00,0,73,1,73,102061397.33,73.00,1398101.33,0.00,,->
10.20.73.129,172.16.0.100,65007,53,17,0.00,0,73,1,73,76546048.00,73.00,1048576.00,0.00,,->
10.20.73.129,10.64.77.10,54751,53,17,0.00,0,73,1,73,0.00,73.00,0.00,0.00,,->
10.20.73.129,172.18.2.20,54084,53,17,0.00,0,73,1,73,76546048.00,73.00,1048576.00,0.00,,->
10.20.73.129,10.64.76.10,57289,53,17,0.00,0,73,1,73,61236838.40,73.00,838860.80,0.00,,->
10.20.73.129,172.16.0.101,54828,53,17,0.00,0,73,1,73,0.00,73.00,0.00,0.00,,->
10.20.73.129,172.18.3.20,53578,53,17,0.00,0,73,1,73,0.00,73.00,0.00,0.00,,->
10.20.73.129,10.64.76.10,51208,53,17,0.00,0,73,1,73,0.00,73.00,0.00,0.00,,->
10.20.73.129,10.64.77.10,50932,53,17,0.00,0,73,1,73,76546048.00,73.00,1048576.00,0.00,,->
10.20.73.129,172.18.2.20,58394,53,17,0.00,0,73,1,73,61236838.40,73.00,838860.80,0.00,,->
10.20.73.129,172.16.0.100,50883,53,17,0.00,0,73,1,73,0.00,73.00,0.00,0.00,,->
10.20.73.129,172.16.0.101,55104,53,17,0.00,0,73,1,73,0.00,73.00,0.00,0.00,,->
