Src IP,Dst IP,Src Port,Dst Port,Protocol,Duration (s),Out Bytes,In Bytes,Total Packets,Total Bytes,Bytes/sec,Bytes/pkt,Pkts/sec,Ratio Out/In,State Flags,Direction,Prediction
18.197.242.41,10.20.73.129,443.0,63917.0,6,0.0,0,151,1,151,158334976.0,151.0,1048576.0,0.0,ACK,->,0
10.20.73.129,18.197.242.41,63917.0,443.0,6,0.0,0,66,1,66,55364812.8,66.0,838860.8,0.0,ACK,->,0
10.20.73.129,172.16.0.100,52282.0,53.0,17,0.0,0,108,1,108,113246208.0,108.0,1048576.0,0.0,,->,0
10.20.73.129,10.64.76.10,63719.0,53.0,17,0.0,0,108,1,108,150994944.0,108.0,1398101.33,0.0,,->,0
10.20.73.129,172.16.0.101,58394.0,53.0,17,0.0,0,108,1,108,0.0,108.0,0.0,0.0,,->,0
10.20.73.129,172.18.2.20,59395.0,53.0,17,0.0,0,108,1,108,113246208.0,108.0,1048576.0,0.0,,->,0
10.20.73.129,172.18.3.20,54795.0,53.0,17,0.0,0,108,1,108,113246208.0,108.0,1048576.0,0.0,,->,0
172.16.0.100,10.20.73.129,53.0,52282.0,17,0.0,0,124,1,124,0.0,124.0,0.0,0.0,,->,0
10.20.73.129,10.64.77.10,51614.0,53.0,17,0.0,0,108,1,108,150994944.0,108.0,1398101.33,0.0,,->,0
10.20.73.129,20.31.196.184,61288.0,443.0,6,0.56,5026,78,14,5104,9095.47,364.57,24.95,64.44,"FIN, ACK, SYN",->,0
20.31.196.184,10.20.73.129,443.0,61288.0,6,0.56,7788,74,18,7862,14092.36,436.78,32.26,105.24,"FIN, ACK, SYN",->,0
172.16.0.101,10.20.73.129,53.0,58394.0,17,0.0,0,124,1,124,130023424.0,124.0,1048576.0,0.0,,->,0
10.20.73.129,172.16.0.101,,,1,0.0,0,70,1,70,0.0,70.0,0.0,0.0,,->,0
208.111.40.216,10.20.73.129,443.0,57366.0,6,0.0,0,93,1,93,78014054.4,93.0,838860.8,0.0,ACK,->,0
10.20.73.129,208.111.40.216,57366.0,443.0,6,0.0,0,66,1,66,0.0,66.0,0.0,0.0,ACK,->,0
199.232.193.91,10.20.73.129,443.0,61085.0,6,6.86,282,94,4,376,54.81,94.0,0.58,3.0,ACK,->,0
10.20.73.129,199.232.193.91,61085.0,443.0,6,6.86,230,66,4,296,43.15,74.0,0.58,3.48,ACK,->,0
10.20.73.129,142.250.72.138,61252.0,443.0,6,0.01,66,105,2,171,15408.31,85.5,180.21,0.63,ACK,->,0
142.250.72.138,10.20.73.129,443.0,61252.0,6,0.0,0,105,1,105,110100480.0,105.0,1048576.0,0.0,ACK,->,0
